arabinose_transporters	galactose_transporters	glucose_transporters	lactose_transporters	mannitol_transporters	mannose_transporters	polysia_transporters	sia_transporters	ribose_transporters	sucrose_transporters
						A0A653IFY2			
						A0A653IJF9			
						A0A653IT98			
						A0A653J5Z7			
						A0A653KAB4			
						A0A653L1X8			
						A0A653LQ90			
						A0A653MBN8			
						A0A653MDE3			
						A0A653MIH4			
						A0A653N1F9			
						A0A653N5U6			
						A0A653N9T8			
						A0A653NSW0			
						A0A653NTI3			
						A0A653P5P4			
						A0A653PRL3			
						A0A653RE94			
						A0A653RHU3			
						A0A653RP29			
						A0A653S9R9			
						A0A653TK30			
						A0A653UVL1			
						A0A653V7W8			
						A0A653WC35			
						A0A653WWU6			
						A0A653XC92			
						A0A653XMB8			
						A0A653XXC8			
						A0A653XXE6			
						A0A653YIT4			
						A0A653YVJ9			
						A0A653ZTS7			
						A0A654CL41			
						A0A654DY99			
						A0A654E563			
						A0A654KJ75			
						A0A654TWB1			
						A0A654UBV0			
						A0A655BSW9			
						A0A656G3G4			
						A0A656G4Q3			
						A0A656HG20			
						A0A656HGB9			
						A0A656HGU5			
						A0A656JL91			
						A0A656JXM7			
						A0A656KV87			
						A0A656QMT0			
						A0A656TEW1			
						A0A656U1L7			
						A0A656VHU9			
						A0A656Y3Z5			
						A0A657I212			
						A0A657LRS7			
						A0A658B1L6			
						A0A658BMQ5			
						A0A658IQR6			
						A0A658QZD3			
						A0A659N2C3			
						A0A659QCM1			
						A0A659UYF8			
						A0A660CET6			
						A0A660E172			
						A0A660JMC3			
						A0A660LIE6			
						A0A660LKU5			
						A0A660LZA2			
						A0A660M199			
						A0A660M562			
						A0A660M8D4			
						A0A660ML45			
						A0A660MPA8			
						A0A660NBQ3			
						A0A660NMB1			
						A0A660PUD0			
						A0A660Q414			
						A0A660RVF1			
						A0A660S0M4			
						A0A660S9Y1			
						A0A660UUN0			
						A0A660V5V5			
						A0A660VX52			
						A0A660VY65			
						A0A660W188			
						A0A660WJA8			
						A0A660XMC9			
						A0A660XUT5			
						A0A660YZI4			
						A0A660ZLP9			
						A0A660ZZX8			
						A0A661AHP3			
						A0A661C2K6			
						A0A661CUF8			
						A0A661DWS9			
						A0A661EAS9			
						A0A661EKN3			
						A0A661GEM3			
						A0A661H4Q5			
						A0A661HYQ7			
						A0A661I8F6			
						A0A661I9M4			
						A0A661IHI9			
						A0A661IPX3			
						A0A661IUQ9			
						A0A661J354			
						A0A661J9C1			
						A0A661JUJ3			
						A0A661JW91			
						A0A661JYA0			
						A0A661M508			
						A0A661Q788			
						A0A661R1W6			
						A0A661R6Y6			
						A0A661RHB3			
						A0A661SF81			
						A0A661SVV6			
						A0A661UC61			
						A0A661UCG6			
						A0A661UF63			
						A0A661USJ5			
						A0A661UXA6			
						A0A661W6M9			
						A0A661WEW4			
						A0A661WMR0			
						A0A661WU48			
						A0A661ZR90			
						A0A662A2F1			
						A0A662AVL2			
						A0A662B289			
						A0A662BJX3			
						A0A662D492			
						A0A662D9L2			
						A0A662DPK4			
						A0A662DQ33			
						A0A662DW80			
						A0A662E2Q6			
						A0A662E962			
						A0A662E9H6			
						A0A662EAU3			
						A0A662ECD8			
						A0A662Z2G4			
						A0A662Z4T7			
						A0A662ZI68			
						A0A663A4B5			
						A0A679F768			
						A0A679F7K2			
						A0A679F9F3			
						A0A679HHR4			
						A0A679HTB5			
						A0A679HU37			
						A0A679I280			
						A0A679IQM6			
						A0A679IYX9			
						A0A679J663			
						A0A679JKA1			
						A0A679JW54			
						A0A679K376			
						A0A679K8F1			
						A0A679KAY9			
						A0A686MHA0			
						A0A692L0P1			
						A0A693MBB0			
						A0A694ALD5			
						A0A696KEU4			
						A0A698BVW4			
						A0A698FI94			
						A0A6A0B1G7			
						A0A6A0BAG6			
						A0A6A0BB18			
						A0A6A0BYB6			
						A0A6A0I1K6			
						A0A6A0IEX1			
						A0A6A0IHQ9			
						A0A6A0IN66			
						A0A6A0QWB8			
						A0A6A0R1E0			
						A0A6A1R3L0			
						A0A6A2SJK2			
						A0A6A2T6W9			
						A0A6A2WD97			
						A0A6A7KCD2			
						A0A6A7KZU7			
						A0A6A7L190			
						A0A6A7L6N8			
						A0A6A7M5Y3			
						A0A6A7M7K6			
						A0A6A7MIT6			
						A0A6A7N492			
						A0A6A7RR18			
						A0A6A7RS29			
						A0A6A7RUE1			
						A0A6A7Y6I0			
						A0A6A7Z922			
						A0A6A8ABP3			
						A0A6A8DBP9			
						A0A6A8FP80			
						A0A6A8LD04			
						A0A6A8M0S1			
						A0A6A8MMG6			
						A0A6A8MRN5			
						A0A6A8MXD8			
						A0A6A8QH29			
						A0A6A8V837			
						A0A6A9K3H1			
						A0A6A9US64			
						A0A6B0BHG8			
						A0A6B0CQU5			
						A0A6B0H123			
						A0A6B0VZ34			
						A0A6B0W6C7			
						A0A6B0WRS3			
						A0A6B0ZIQ2			
						A0A6B0ZLE1			
						A0A6B1AQ57			
						A0A6B1AYH2			
						A0A6B1BCX0			
						A0A6B1C178			
						A0A6B1DKP6			
						A0A6B1E597			
						A0A6B1EEB1			
						A0A6B1EGV2			
						A0A6B1GCQ3			
						A0A6B1H4C7			
						A0A6B1H7K8			
						A0A6B1HGX2			
						A0A6B1K7P0			
						A0A6B1KTV5			
						A0A6B1W658			
						A0A6B1Y9W3			
						A0A6B2AZT7			
						A0A6B2DHV6			
						A0A6B2DRU1			
						A0A6B2GX24			
						A0A6B2GZA5			
						A0A6B2JM28			
						A0A6B2M3G1			
						A0A6B2NNX9			
						A0A6B2R2C1			
						A0A6B2R354			
						A0A6B2R698			
						A0A6B2R7P0			
						A0A6B2RSU3			
						A0A6B2RZB5			
						A0A6B2SGV9			
						A0A6B2SVQ7			
						A0A6B2T4C9			
						A0A6B2UFQ4			
						A0A6B2UKC0			
						A0A6B2UVE8			
						A0A6B2V1B8			
						A0A6B2V462			
						A0A6B2VY06			
						A0A6B2W5H6			
						A0A6B2WLS1			
						A0A6B2WNN7			
						A0A6B2X6Q4			
						A0A6B2XNG8			
						A0A6B2Y7T8			
						A0A6B2YHN0			
						A0A6B2YU09			
						A0A6B2Z5V4			
						A0A6B2ZEJ6			
						A0A6B2ZG52			
						A0A6B3AGB4			
						A0A6B3AIG0			
						A0A6B3ASW2			
						A0A6B3B4Z0			
						A0A6B3BE54			
						A0A6B3BN17			
						A0A6B3C290			
						A0A6B3CKX0			
						A0A6B3CSB9			
						A0A6B3E2P5			
						A0A6B3F0V0			
						A0A6B3FKG3			
						A0A6B3GPB3			
						A0A6B3HAZ9			
						A0A6B3KPD6			
						A0A6B3LZR0			
						A0A6B3MCE6			
						A0A6B3MKG2			
						A0A6B3MTZ8			
						A0A6B3N0Z7			
						A0A6B3N8R0			
						A0A6B3P0F9			
						A0A6B3Q4H8			
						A0A6B3QAV0			
						A0A6B3QJM7			
						A0A6B3R8T7			
						A0A6B3RQI1			
						A0A6B3SJ93			
						A0A6B3TX99			
						A0A6B3WDC7			
						A0A6B4PIK6			
						A0A6B8GJT8			
						A0A6B8HBS3			
						A0A6B8JC74			
						A0A6B8KDJ5			
						A0A6B8KGM5			
						A0A6B8M103			
						A0A6B8M4U4			
						A0A6B8M7D5			
						A0A6B8MYW6			
						A0A6B8QQ68			
						A0A6B8RQ45			
						A0A6B8TF24			
						A0A6B8VKC5			
						A0A6B8VZX7			
						A0A6B8W471			
						A0A6B8XIF3			
						A0A6B9B6W8			
						A0A6B9F9Z6			
						A0A6B9GAX8			
						A0A6B9XWA6			
						A0A6B9YFG2			
						A0A6B9Z2D8			
						A0A6C0FLR4			
						A0A6C0FWB2			
						A0A6C0GCT5			
						A0A6C0GNF6			
						A0A6C0GRH9			
						A0A6C0NZB7			
						A0A6C0Q1W3			
						A0A6C0QD28			
						A0A6C0U6L9			
						A0A6C1CHW6			
						A0A6C1QVB0			
						A0A6C1SW25			
						A0A6C1T0P0			
						A0A6C1U2B8			
						A0A6C1VSV1			
						A0A6C1YP68			
						A0A6C2C8R3			
						A0A6C2D3B6			
						A0A6C2DRJ0			
						A0A6C2DW10			
						A0A6C2E0K9			
						A0A6C2UDB6			
						A0A6C2YTB9			
						A0A6C6ZS80			
						A0A6C7CII3			
						A0A6C7D7A3			
						A0A6C7EAF0			
						A0A6C7EAF9			
						A0A6C7I110			
						A0A6C7I8S8			
						A0A6C7UTF8			
						A0A6C8EY34			
						A0A6D0HDN6			
						A0A6D0TLC9			
						A0A6D0YFT8			
						A0A6D1I9R8			
						A0A6D1IA05			
						A0A6D2LQ51			
						A0A6F7W5E3			
						A0A6F8PQK0			
						A0A6F8PSJ0			
						A0A6F8PVK8			
						A0A6F8Q1H5			
						A0A6F8SN00			
						A0A6F8SVL7			
						A0A6F8U4M0			
						A0A6F8U6P9			
						A0A6F8UYW4			
						A0A6F8UZD8			
						A0A6F8V1S1			
						A0A6F8VHR7			
						A0A6F8VHX4			
						A0A6F8X9P1			
						A0A6F8ZD66			
						A0A6F9H7M1			
						A0A6F9HRX2			
						A0A6F9MUW6			
						A0A6F9WW79			
						A0A6F9WXL2			
						A0A6G0A3Z4			
						A0A6G0ENY7			
						A0A6G0ERI1			
						A0A6G0F907			
						A0A6G0FH44			
						A0A6G1WJC7			
						A0A6G1X2C2			
						A0A6G2B5K9			
						A0A6G2BHI0			
						A0A6G2I4W5			
						A0A6G2IBL0			
						A0A6G2JVP3			
						A0A6G2M2U2			
						A0A6G2M5Y4			
						A0A6G2MTX6			
						A0A6G2N0B5			
						A0A6G2N931			
						A0A6G2NLJ3			
						A0A6G2NNT0			
						A0A6G2NSF0			
						A0A6G2PSB5			
						A0A6G2R5Y3			
						A0A6G2RVU2			
						A0A6G2RX72			
						A0A6G2S9G5			
						A0A6G2SIE2			
						A0A6G2SRF8			
						A0A6G2SRX7			
						A0A6G2TAU5			
						A0A6G2TC23			
						A0A6G2TYQ9			
						A0A6G2TZA2			
						A0A6G2UEW0			
						A0A6G2UHC2			
						A0A6G2VF22			
						A0A6G2W0Y7			
						A0A6G2W9R6			
						A0A6G2WN05			
						A0A6G2WU53			
						A0A6G2XK59			
						A0A6G2YPJ2			
						A0A6G2YZ28			
						A0A6G2Z5D9			
						A0A6G2ZL64			
						A0A6G2ZU11			
						A0A6G3BDZ8			
						A0A6G3BLM5			
						A0A6G3BW74			
						A0A6G3BYZ1			
						A0A6G3CQS5			
						A0A6G3CSQ4			
						A0A6G3L3N1			
						A0A6G3NUX5			
						A0A6G3NY50			
						A0A6G3PD17			
						A0A6G3PR29			
						A0A6G3Q2I2			
						A0A6G3QAB9			
						A0A6G3QRG7			
						A0A6G3QTH5			
						A0A6G3RN46			
						A0A6G3RRJ7			
						A0A6G3S182			
						A0A6G3SE58			
						A0A6G3SY30			
						A0A6G3T0X8			
						A0A6G3T994			
						A0A6G3TDD4			
						A0A6G3UBP9			
						A0A6G3UEU8			
						A0A6G3UUV8			
						A0A6G3UVK2			
						A0A6G3W1I3			
						A0A6G3WKR4			
						A0A6G3XCI1			
						A0A6G3YX30			
						A0A6G3YZE3			
						A0A6G3ZYB1			
						A0A6G4B467			
						A0A6G4BBE1			
						A0A6G4K8H9			
						A0A6G4QXH6			
						A0A6G4TQX2			
						A0A6G4UCP8			
						A0A6G4V7C2			
						A0A6G4VAQ6			
						A0A6G4WBT9			
						A0A6G4WVB4			
						A0A6G4XBG2			
						A0A6G4XH19			
						A0A6G4Y5G7			
						A0A6G4YAI4			
						A0A6G4ZSP8			
						A0A6G5QLR6			
						A0A6G5REE0			
						A0A6G5RNV9			
						A0A6G6FJ33			
						A0A6G6GSC3			
						A0A6G6INP9			
						A0A6G6J3Z5			
						A0A6G6J4N6			
						A0A6G6K680			
						A0A6G6K8V1			
						A0A6G6K8W0			
						A0A6G6KAK1			
						A0A6G6REC9			
						A0A6G6VZD4			
						A0A6G6VZR1			
						A0A6G6WFD3			
						A0A6G6YJK0			
						A0A6G6YPI7			
						A0A6G6YT99			
						A0A6G6YTV3			
						A0A6G6Z5R8			
						A0A6G7CBS9			
						A0A6G7EHZ7			
						A0A6G7JJM3			
						A0A6G7PF70			
						A0A6G7PHB1			
						A0A6G7RVZ3			
						A0A6G7SQS3			
						A0A6G7SZ76			
						A0A6G7TB10			
						A0A6G7V9Y5			
						A0A6G7VA16			
						A0A6G7XAI2			
						A0A6G7XCQ0			
						A0A6G7XK57			
						A0A6G7XLZ8			
						A0A6G7Y8E2			
						A0A6G7YFJ7			
						A0A6G7YMU8			
						A0A6G7YUN2			
						A0A6G7Z1M5			
						A0A6G7ZQP7			
						A0A6G7ZXG1			
						A0A6G8ADG6			
						A0A6G8AFI4			
						A0A6G8APF9			
						A0A6G8AXJ4			
						A0A6G8B0P0			
						A0A6G8B125			
						A0A6G8BU70			
						A0A6G8BUB5			
						A0A6G8BV01			
						A0A6G8C1E4			
						A0A6G8CC50			
						A0A6G8CGX7			
						A0A6G8CLM3			
						A0A6G8CRG0			
						A0A6G8CS14			
						A0A6G8CTC0			
						A0A6G8DCR6			
						A0A6G8DF60			
						A0A6G8FLV3			
						A0A6G8FM89			
						A0A6G8FXV7			
						A0A6G8FYJ9			
						A0A6G8HXF1			
						A0A6G8J4V4			
						A0A6G8KQH1			
						A0A6G8KRX8			
						A0A6G8NLB8			
						A0A6G8QCK1			
						A0A6G8RRG1			
						A0A6G8S7F3			
						A0A6G8VHW3			
						A0A6G8YG87			
						A0A6G8ZZA7			
						A0A6G9AJZ3			
						A0A6G9AKK5			
						A0A6G9ANG6			
						A0A6G9CKY1			
						A0A6G9F731			
						A0A6G9F7M4			
						A0A6G9FDK3			
						A0A6G9FKQ6			
						A0A6G9GUK4			
						A0A6G9H202			
						A0A6G9Q6J7			
						A0A6G9QM45			
						A0A6G9RPX2			
						A0A6G9RRR2			
						A0A6G9S843			
						A0A6G9SCV5			
						A0A6G9SFH6			
						A0A6G9SKH7			
						A0A6G9SL97			
						A0A6G9SQB3			
						A0A6G9V2Q8			
						A0A6G9V5Z1			
						A0A6G9VRC7			
						A0A6G9XJN8			
						A0A6G9Y4L6			
						A0A6H0ANA9			
						A0A6H0CMH3			
						A0A6H0CUV2			
						A0A6H0H7N6			
						A0A6H0IZ75			
						A0A6H0S7F2			
						A0A6H0SNT7			
						A0A6H0T6A1			
						A0A6H0UKP7			
						A0A6H0WN14			
						A0A6H1A6K6			
						A0A6H1BUK8			
						A0A6H1FT79			
						A0A6H1JXM9			
						A0A6H1KEQ9			
						A0A6H1KJW1			
						A0A6H1KMG1			
						A0A6H1L6Y0			
						A0A6H1LG92			
						A0A6H1MWN9			
						A0A6H1NGB8			
						A0A6H1NLT5			
						A0A6H1PAH4			
						A0A6H1R5X3			
						A0A6H1TT70			
						A0A6H1U2A9			
						A0A6H1W2S0			
						A0A6H1W4W6			
						A0A6H1Y8P7			
						A0A6H2BYG1			
						A0A6H2C2B5			
						A0A6H2EIH3			
						A0A6H2GCS9			
						A0A6H2H2L2			
						A0A6H2H6T8			
						A0A6H2JVM5			
						A0A6H2KLU6			
						A0A6H3CR01			
						A0A6H3D054			
						A0A6H3F3Y4			
						A0A6H3NJ14			
						A0A6H3NKT8			
						A0A6H3RR38			
						A0A6H9FL26			
						A0A6H9G060			
						A0A6H9GVF6			
						A0A6H9HL88			
						A0A6H9IX92			
						A0A6H9TU29			
						A0A6H9TX41			
						A0A6H9URW0			
						A0A6H9V148			
						A0A6H9WJU0			
						A0A6H9YAR3			
						A0A6H9YQ82			
						A0A6H9YS18			
						A0A6I0BM72			
						A0A6I0DL86			
						A0A6I0E6V7			
						A0A6I0ESL3			
						A0A6I0F4A1			
						A0A6I0FI48			
						A0A6I1BZW8			
						A0A6I1ENZ1			
						A0A6I1GAN0			
						A0A6I1GDJ0			
						A0A6I1GI40			
						A0A6I1HBZ4			
						A0A6I1JSS3			
						A0A6I1JYN8			
						A0A6I1KBB1			
						A0A6I1KI51			
						A0A6I1KNS1			
						A0A6I1MI59			
						A0A6I1MSM8			
						A0A6I1MVJ0			
						A0A6I1NBL8			
						A0A6I1PF56			
						A0A6I1QS66			
						A0A6I1QSX8			
						A0A6I1R570			
						A0A6I1U0W1			
						A0A6I1U436			
						A0A6I1Y900			
						A0A6I1YCX1			
						A0A6I1YRV3			
						A0A6I2F897			
						A0A6I2F8R1			
						A0A6I2FC24			
						A0A6I2FQ86			
						A0A6I2GZS4			
						A0A6I2HZQ0			
						A0A6I2JJC6			
						A0A6I2JTF4			
						A0A6I2K1M9			
						A0A6I2L4C3			
						A0A6I2LV16			
						A0A6I2M7X7			
						A0A6I2SLH0			
						A0A6I2T232			
						A0A6I2UCJ3			
						A0A6I2UCZ6			
						A0A6I2UHX9			
						A0A6I2UL34			
						A0A6I2V3T9			
						A0A6I2VJA6			
						A0A6I2VMX1			
						A0A6I2VZI5			
						A0A6I2W2R5			
						A0A6I2W4L3			
						A0A6I2WTY5			
						A0A6I2WXG1			
						A0A6I2X261			
						A0A6I2X296			
						A0A6I2X5E6			
						A0A6I2X650			
						A0A6I2X7J8			
						A0A6I2XQC2			
						A0A6I2XRJ9			
						A0A6I2XRT5			
						A0A6I2XZK1			
						A0A6I2Y237			
						A0A6I2Z1C3			
						A0A6I2Z2U2			
						A0A6I2ZBB6			
						A0A6I2ZED2			
						A0A6I2ZFB8			
						A0A6I2ZVI9			
						A0A6I2ZX35			
						A0A6I3AF27			
						A0A6I3AK07			
						A0A6I3AL90			
						A0A6I3AXA5			
						A0A6I3AYN1			
						A0A6I3B2P9			
						A0A6I3B5A4			
						A0A6I3BMS7			
						A0A6I3BU91			
						A0A6I3BV93			
						A0A6I3D252			
						A0A6I3D3S3			
						A0A6I3D796			
						A0A6I3DAX0			
						A0A6I3DER1			
						A0A6I3DJA2			
						A0A6I3DMU8			
						A0A6I3DUJ6			
						A0A6I3DYV8			
						A0A6I3DZN6			
						A0A6I3E4F8			
						A0A6I3E4H6			
						A0A6I3E6X3			
						A0A6I3EKG4			
						A0A6I3ER85			
						A0A6I3EVS9			
						A0A6I3F8T5			
						A0A6I3FBB2			
						A0A6I3FK29			
						A0A6I3FLD7			
						A0A6I3FLH6			
						A0A6I3FTZ8			
						A0A6I3FWD3			
						A0A6I3G2W9			
						A0A6I3G6W0			
						A0A6I3G770			
						A0A6I3GAV7			
						A0A6I3GLT5			
						A0A6I3GN02			
						A0A6I3GS13			
						A0A6I3H4H4			
						A0A6I3H7A5			
						A0A6I3HE40			
						A0A6I3HHZ4			
						A0A6I3HI26			
						A0A6I3HK00			
						A0A6I3HUN9			
						A0A6I3I595			
						A0A6I3IDI0			
						A0A6I3IMM3			
						A0A6I3IN86			
						A0A6I3IWL4			
						A0A6I3J385			
						A0A6I3K9J3			
						A0A6I3KGQ7			
						A0A6I3KQC9			
						A0A6I3L6Y5			
						A0A6I3L9B2			
						A0A6I3M1N8			
						A0A6I3M5G6			
						A0A6I3MBZ6			
						A0A6I3MJQ0			
						A0A6I3MYR5			
						A0A6I3N1R2			
						A0A6I3P4F3			
						A0A6I3PM09			
						A0A6I3Q0N7			
						A0A6I3Q3D6			
						A0A6I3S2Y6			
						A0A6I3SVV5			
						A0A6I3T907			
						A0A6I3WPV8			
						A0A6I3WRJ2			
						A0A6I3XIU1			
						A0A6I4A2P6			
						A0A6I4IMJ7			
						A0A6I4JWA2			
						A0A6I4K6Q9			
						A0A6I4MJV0			
						A0A6I4MRZ9			
						A0A6I4MXX5			
						A0A6I4MZD9			
						A0A6I4NJQ4			
						A0A6I4NK14			
						A0A6I4NSV3			
						A0A6I4NXZ6			
						A0A6I4P2R1			
						A0A6I4QXL3			
						A0A6I4RJY6			
						A0A6I4TTI4			
						A0A6I4US00			
						A0A6I4V8E2			
						A0A6I4W5K2			
						A0A6I4Z8I1			
						A0A6I4ZJS7			
						A0A6I5B352			
						A0A6I5B6T2			
						A0A6I5BRY4			
						A0A6I5BZA5			
						A0A6I5CH76			
						A0A6I5CYR8			
						A0A6I5EE92			
						A0A6I5ESI8			
						A0A6I5EUX8			
						A0A6I5FFL8			
						A0A6I5FVJ8			
						A0A6I5FXM3			
						A0A6I5GI75			
						A0A6I5GZ53			
						A0A6I5H0L5			
						A0A6I5HH11			
						A0A6I5HS31			
						A0A6I5I5R8			
						A0A6I5MQI6			
						A0A6I5NA40			
						A0A6I5NGU7			
						A0A6I5NQL6			
						A0A6I5P6R3			
						A0A6I5QWQ4			
						A0A6I5U6E6			
						A0A6I5UQ79			
						A0A6I5VW06			
						A0A6I5W831			
						A0A6I5WHP1			
						A0A6I5X614			
						A0A6I5YG79			
						A0A6I5YGC1			
						A0A6I5YIR1			
						A0A6I5Z6E1			
						A0A6I5ZYC9			
						A0A6I6AJ13			
						A0A6I6DFN5			
						A0A6I6DN23			
						A0A6I6E0R1			
						A0A6I6E0U6			
						A0A6I6E993			
						A0A6I6F8Q4			
						A0A6I6FS44			
						A0A6I6G7Z4			
						A0A6I6GCW5			
						A0A6I6H1G1			
						A0A6I6H210			
						A0A6I6ILV9			
						A0A6I6KSU8			
						A0A6I6KXN6			
						A0A6I6M1Q6			
						A0A6I6MM61			
						A0A6I6NEB2			
						A0A6I6NFG2			
						A0A6I6Q3W5			
						A0A6I6RQZ2			
						A0A6I6SBR0			
						A0A6I6SDH2			
						A0A6I6T1P0			
						A0A6I6T4C1			
						A0A6I6TA54			
						A0A6I6TS87			
						A0A6I6VFD5			
						A0A6I6VZE1			
						A0A6I6W9F6			
						A0A6I6WHM8			
						A0A6I6XDW6			
						A0A6I6YKN0			
						A0A6I7F829			
						A0A6I7PAX5			
						A0A6I7PVU5			
						A0A6I7Q0I3			
						A0A6I7R8U4			
						A0A6I7WAN5			
						A0A6I7WGZ8			
						A0A6I7X5R1			
						A0A6I7XCY0			
						A0A6I7XMC2			
						A0A6I7Y6E9			
						A0A6I7YB70			
						A0A6I7YQS6			
						A0A6I7YRN2			
						A0A6I7Z2Q8			
						A0A6I7ZH02			
						A0A6I8M359			
						A0A6I8M9C4			
						A0A6I8WFL6			
						A0A6J4B0R4			
						A0A6J4F6E4			
						A0A6J4FN12			
						A0A6J4GXM9			
						A0A6J4HF74			
						A0A6J4HL22			
						A0A6J4I1L0			
						A0A6J4ICH1			
						A0A6J4IJN8			
						A0A6J4ILQ5			
						A0A6J4JF44			
						A0A6J4JN39			
						A0A6J4JXM1			
						A0A6J4KA60			
						A0A6J4KR56			
						A0A6J4L3G3			
						A0A6J4LCB3			
						A0A6J4MEN7			
						A0A6J4MGM8			
						A0A6J4MIQ7			
						A0A6J4MPY5			
						A0A6J4MQR7			
						A0A6J4P3P3			
						A0A6J4PHM9			
						A0A6J4PKR5			
						A0A6J4PNK1			
						A0A6J4PPH3			
						A0A6J4R0H5			
						A0A6J4RKE5			
						A0A6J4RQL3			
						A0A6J4SCF0			
						A0A6J4SIV9			
						A0A6J4T0F1			
						A0A6J4UTK9			
						A0A6J4V364			
						A0A6J4XUM3			
						A0A6J4ZK30			
						A0A6J5BRT2			
						A0A6J5BXN6			
						A0A6J5CD53			
						A0A6J5E2W0			
						A0A6J5E4B0			
						A0A6J5FAL7			
						A0A6J5FQM7			
						A0A6J5GRX3			
						A0A6J5J7A4			
						A0A6J5JET4			
						A0A6J5JXU2			
						A0A6J5JXX2			
						A0A6J5JY47			
						A0A6J5K886			
						A0A6J7ZJ16			
						A0A6L1L0Y5			
						A0A6L2A4R9			
						A0A6L2ZLC5			
						A0A6L2ZT35			
						A0A6L3A7C9			
						A0A6L3AGH9			
						A0A6L3AN89			
						A0A6L3ARS6			
						A0A6L3AS44			
						A0A6L3F1I7			
						A0A6L3F4G6			
						A0A6L3F4I9			
						A0A6L3F4X5			
						A0A6L3J4M7			
						A0A6L3MZY7			
						A0A6L3NN01			
						A0A6L3NPF4			
						A0A6L3T7K9			
						A0A6L3VJL3			
						A0A6L3VRY5			
						A0A6L3W6P8			
						A0A6L3Z1P5			
						A0A6L4ABE1			
						A0A6L4AQ72			
						A0A6L4AQE7			
						A0A6L4AU29			
						A0A6L4AWS8			
						A0A6L4B2C3			
						A0A6L4U1F3			
						A0A6L4V3P5			
						A0A6L4X2L0			
						A0A6L4YP60			
						A0A6L4ZCP8			
						A0A6L5ADP9			
						A0A6L5BLL1			
						A0A6L5BRN7			
						A0A6L5EQU7			
						A0A6L5FD62			
						A0A6L5FU12			
						A0A6L5GFS8			
						A0A6L5HSW0			
						A0A6L5PJD9			
						A0A6L5QRX8			
						A0A6L5QYM6			
						A0A6L5R5V9			
						A0A6L5X2Z0			
						A0A6L5X4N3			
						A0A6L5X4X9			
						A0A6L5XPA0			
						A0A6L5XSH4			
						A0A6L5XUY4			
						A0A6L5Y049			
						A0A6L5Y570			
						A0A6L5YDH0			
						A0A6L5YKP9			
						A0A6L5YTB4			
						A0A6L5ZT87			
						A0A6L6A7L4			
						A0A6L6AQA7			
						A0A6L6AT17			
						A0A6L6B587			
						A0A6L6BAL1			
						A0A6L6BZ27			
						A0A6L6C1Y5			
						A0A6L6C7T9			
						A0A6L6C821			
						A0A6L6D4E5			
						A0A6L6D549			
						A0A6L6DGT3			
						A0A6L6DZC1			
						A0A6L6E4R7			
						A0A6L6E7M7			
						A0A6L6EB36			
						A0A6L6ED72			
						A0A6L6EFW4			
						A0A6L6F0P0			
						A0A6L6F0Q0			
						A0A6L6F3F2			
						A0A6L6G867			
						A0A6L6GGS0			
						A0A6L6HLG2			
						A0A6L6I9C1			
						A0A6L6ITT0			
						A0A6L6JAX9			
						A0A6L6JG33			
						A0A6L6LG78			
						A0A6L6LPZ2			
						A0A6L6PN30			
						A0A6L6PUD3			
						A0A6L6QQE2			
						A0A6L6UA25			
						A0A6L6WMR5			
						A0A6L6WRD4			
						A0A6L6WZV7			
						A0A6L6XEY7			
						A0A6L6XVG6			
						A0A6L6Y7T6			
						A0A6L6YMN9			
						A0A6L6ZNW3			
						A0A6L7CG07			
						A0A6L7EEF0			
						A0A6L7ESD6			
						A0A6L7G8B8			
						A0A6L7GB99			
						A0A6L7GPR2			
						A0A6L7IK62			
						A0A6L7IWQ2			
						A0A6L7JLZ0			
						A0A6L7NBJ3			
						A0A6L7XML8			
						A0A6L8E2S7			
						A0A6L8EFT5			
						A0A6L8IZF5			
						A0A6L8K0G1			
						A0A6L8K6Q6			
						A0A6L8KSB1			
						A0A6L8LII7			
						A0A6L8MSK0			
						A0A6L8N4A1			
						A0A6L8Q2Q9			
						A0A6L8RSC4			
						A0A6L8RV22			
						A0A6L8T9F8			
						A0A6L8TDF0			
						A0A6L8U7N5			
						A0A6L8V0A3			
						A0A6L8VH39			
						A0A6L8XXR3			
						A0A6L9ENI9			
						A0A6L9EW97			
						A0A6L9FSN6			
						A0A6L9G8M4			
						A0A6L9H877			
						A0A6L9IU51			
						A0A6L9IWI3			
						A0A6L9J9X0			
						A0A6L9K9M5			
						A0A6L9KCP1			
						A0A6L9L5H2			
						A0A6L9LU90			
						A0A6L9MJI7			
						A0A6L9QHA7			
						A0A6L9QXH3			
						A0A6L9SI13			
						A0A6L9STI8			
						A0A6L9TBK0			
						A0A6L9U3B7			
						A0A6L9U4G3			
						A0A6L9X5W5			
						A0A6L9Y082			
						A0A6L9Y0J9			
						A0A6L9Y4H8			
						A0A6L9YDH3			
						A0A6L9YKG4			
						A0A6L9YSA5			
						A0A6L9Z9Y7			
						A0A6L9ZD61			
						A0A6L9ZDB2			
						A0A6L9ZSR5			
						A0A6M0ABM7			
						A0A6M0APM8			
						A0A6M0AQN3			
						A0A6M0B4D2			
						A0A6M0BHW6			
						A0A6M0BIA9			
						A0A6M0BJ12			
						A0A6M0BPW8			
						A0A6M0C589			
						A0A6M0CIU2			
						A0A6M0EXN2			
						A0A6M0FPD0			
						A0A6M0G0I6			
						A0A6M0G874			
						A0A6M0HTI3			
						A0A6M0IF60			
						A0A6M0IQ48			
